Region,Group,Dimension,Party,Vote_Pct_Regional
Midlands,NS-SeC Intermediate,yg_nsec,Reform,18.09
Midlands,NS-SeC Routine,yg_nsec,Con,22.29
Midlands,NS-SeC Routine,yg_nsec,Green,6.41
Midlands,NS-SeC Routine,yg_nsec,IND,8.02
Midlands,NS-SeC Routine,yg_nsec,LD,4.53
Midlands,NS-SeC Routine,yg_nsec,Lab,39.3
Midlands,NS-SeC Routine,yg_nsec,Reform,19.44
Midlands,No Degree,education,Con,32.48
Midlands,No Degree,education,Green,5.6
Midlands,No Degree,education,IND,5.67
Midlands,No Degree,education,LD,2.09
Midlands,No Degree,education,Lab,30.79
Midlands,No Degree,education,Reform,23.37
Midlands,Non-White,eth_binary,Con,14.7
Midlands,Non-White,eth_binary,Green,7.66
Midlands,Non-White,eth_binary,IND,18.89
Midlands,Non-White,eth_binary,LD,6.59
Midlands,Non-White,eth_binary,Lab,40.62
Midlands,Non-White,eth_binary,Reform,11.55
Midlands,Owner,tenure,Con,31.77
Midlands,Owner,tenure,Green,5.7
Midlands,Owner,tenure,IND,3.5
Midlands,Owner,tenure,LD,3.21
Midlands,Owner,tenure,Lab,35.87
Midlands,Owner,tenure,Reform,19.95
Midlands,Renter,tenure,Con,17.62
Midlands,Renter,tenure,Green,7.93
Midlands,Renter,tenure,IND,8.88
Midlands,Renter,tenure,LD,15.24
Midlands,Renter,tenure,Lab,34.91
Midlands,Renter,tenure,Reform,15.42
Midlands,White,eth_binary,Con,29.99
Midlands,White,eth_binary,Green,6.15
Midlands,White,eth_binary,IND,2.16
Midlands,White,eth_binary,LD,7.24
Midlands,White,eth_binary,Lab,34.42
Midlands,White,eth_binary,Reform,20.05
NI,ABC1,ipsos_grade,ALL,21.81
NI,ABC1,ipsos_grade,DUP,23.31
NI,ABC1,ipsos_grade,IND,11.85
NI,ABC1,ipsos_grade,SDLP,13.08
NI,ABC1,ipsos_grade,SF,16.81
NI,ABC1,ipsos_grade,UUP,13.15
NI,Age 18-24,yg_age,ALL,2.91
NI,Age 18-24,yg_age,DUP,17.59
NI,Age 18-24,yg_age,IND,8.69
NI,Age 18-24,yg_age,SDLP,34.37
NI,Age 18-24,yg_age,SF,29.14
NI,Age 18-24,yg_age,UUP,7.31
NI,Age 25-49,yg_age,ALL,19.95
NI,Age 25-49,yg_age,DUP,24.19
NI,Age 25-49,yg_age,IND,11.76
NI,Age 25-49,yg_age,SDLP,7.07
NI,Age 25-49,yg_age,SF,26.6
NI,Age 25-49,yg_age,UUP,10.42
NI,Age 50-64,yg_age,ALL,11.75
NI,Age 50-64,yg_age,DUP,22.18
NI,Age 50-64,yg_age,IND,11.68
NI,Age 50-64,yg_age,SDLP,10.19
NI,Age 50-64,yg_age,SF,29.94
NI,Age 50-64,yg_age,UUP,14.27
NI,Age 65+,yg_age,ALL,14.51
NI,Age 65+,yg_age,DUP,22.49
NI,Age 65+,yg_age,IND,12.37
NI,Age 65+,yg_age,SDLP,8.94
NI,Age 65+,yg_age,SF,25.15
NI,Age 65+,yg_age,UUP,16.53
NI,C2DE,ipsos_grade,ALL,10.03
NI,C2DE,ipsos_grade,DUP,22.08
NI,C2DE,ipsos_grade,IND,11.18
NI,C2DE,ipsos_grade,SDLP,10.49
NI,C2DE,ipsos_grade,SF,35.12
NI,C2DE,ipsos_grade,UUP,11.09
NI,Degree,education,ALL,28.16
NI,Degree,education,DUP,21.2
NI,Degree,education,IND,10.7
NI,Degree,education,SDLP,14.6
NI,Degree,education,SF,13.48
NI,Degree,education,UUP,11.85
NI,Detached,housing,ALL,13.19
NI,Detached,housing,DUP,21.82
NI,Detached,housing,IND,11.11
NI,Detached,housing,SDLP,9.17
NI,Detached,housing,SF,30.33
NI,Detached,housing,UUP,14.38
NI,Flat,housing,ALL,21.98
NI,Flat,housing,DUP,22.37
NI,Flat,housing,IND,11.56
NI,Flat,housing,SDLP,21.21
NI,Flat,housing,SF,15.75
NI,Flat,housing,UUP,7.12
NI,Ipsos 18-34,ipsos_age,ALL,14.65
NI,Ipsos 18-34,ipsos_age,DUP,22.88
NI,Ipsos 18-34,ipsos_age,IND,10.79
NI,Ipsos 18-34,ipsos_age,SDLP,21.09
NI,Ipsos 18-34,ipsos_age,SF,23.71
NI,Ipsos 18-34,ipsos_age,UUP,6.87
NI,Ipsos 35-54,ipsos_age,ALL,12.84
NI,Ipsos 35-54,ipsos_age,DUP,22.11
NI,Ipsos 35-54,ipsos_age,IND,11.14
NI,Ipsos 35-54,ipsos_age,SDLP,8.66
NI,Ipsos 35-54,ipsos_age,SF,32.07
NI,Ipsos 35-54,ipsos_age,UUP,13.18
NI,Ipsos 55+,ipsos_age,ALL,17.64
NI,Ipsos 55+,ipsos_age,DUP,22.89
NI,Ipsos 55+,ipsos_age,IND,12.29
NI,Ipsos 55+,ipsos_age,SDLP,7.58
NI,Ipsos 55+,ipsos_age,SF,25.07
NI,Ipsos 55+,ipsos_age,UUP,14.54
NI,NS-SeC Higher,yg_nsec,ALL,21.49
NI,NS-SeC Higher,yg_nsec,DUP,22.77
NI,NS-SeC Higher,yg_nsec,IND,11.43
NI,NS-SeC Higher,yg_nsec,SDLP,15.9
NI,NS-SeC Higher,yg_nsec,SF,16.13
NI,NS-SeC Higher,yg_nsec,UUP,12.28
NI,NS-SeC Intermediate,yg_nsec,ALL,19.18
NI,NS-SeC Intermediate,yg_nsec,DUP,23.16
NI,NS-SeC Intermediate,yg_nsec,IND,11.84
NI,NS-SeC Intermediate,yg_nsec,SDLP,11.02
NI,NS-SeC Intermediate,yg_nsec,SF,20.87
NI,NS-SeC Intermediate,yg_nsec,UUP,13.93
NI,NS-SeC Routine,yg_nsec,ALL,9.87
NI,NS-SeC Routine,yg_nsec,DUP,22.07
NI,NS-SeC Routine,yg_nsec,IND,11.15
NI,NS-SeC Routine,yg_nsec,SDLP,11.13
NI,NS-SeC Routine,yg_nsec,SF,35.67
NI,NS-SeC Routine,yg_nsec,UUP,10.11
NI,No Degree,education,ALL,8.23
NI,No Degree,education,DUP,23.36
NI,No Degree,education,IND,11.89
NI,No Degree,education,SDLP,10.03
NI,No Degree,education,SF,34.44
NI,No Degree,education,UUP,12.05
NI,Non-White,eth_binary,ALL,34.15
NI,Non-White,eth_binary,DUP,18.56
NI,Non-White,eth_binary,IND,5.98
NI,Non-White,eth_binary,SDLP,25.69
NI,Non-White,eth_binary,SF,10.18
NI,Non-White,eth_binary,UUP,5.43
NI,Owner,tenure,ALL,19.68
NI,Owner,tenure,DUP,23.94
NI,Owner,tenure,IND,12.19
NI,Owner,tenure,SDLP,3.71
NI,Owner,tenure,SF,24.7
NI,Owner,tenure,UUP,15.77
NI,Renter,tenure,ALL,6.69
NI,Renter,tenure,DUP,20.18
NI,Renter,tenure,IND,10.14
NI,Renter,tenure,SDLP,26.48
NI,Renter,tenure,SF,31.64
NI,Renter,tenure,UUP,4.87
NI,White,eth_binary,ALL,14.29
NI,White,eth_binary,DUP,22.8
NI,White,eth_binary,IND,11.71
NI,White,eth_binary,SDLP,10.99
NI,White,eth_binary,SF,27.93
NI,White,eth_binary,UUP,12.28
North,ABC1,ipsos_grade,Con,22.15
North,ABC1,ipsos_grade,Green,7.6
North,ABC1,ipsos_grade,IND,4.08
North,ABC1,ipsos_grade,LD,9.16
North,ABC1,ipsos_grade,Lab,42.24
North,ABC1,ipsos_grade,Reform,14.78
North,Age 18-24,yg_age,Con,3.42
North,Age 18-24,yg_age,Green,14.33
North,Age 18-24,yg_age,IND,5.94
North,Age 18-24,yg_age,LD,13.01
North,Age 18-24,yg_age,Lab,48.1
North,Age 18-24,yg_age,Reform,15.21
North,Age 25-49,yg_age,Con,18.59
North,Age 25-49,yg_age,Green,8.03
North,Age 25-49,yg_age,IND,7.76
North,Age 25-49,yg_age,LD,2.64
North,Age 25-49,yg_age,Lab,46.43
North,Age 25-49,yg_age,Reform,16.56
North,Age 50-64,yg_age,Con,23.01
North,Age 50-64,yg_age,Green,4.79
North,Age 50-64,yg_age,IND,3.11
North,Age 50-64,yg_age,LD,9.32
North,Age 50-64,yg_age,Lab,40.5
North,Age 50-64,yg_age,Reform,19.27
North,Age 65+,yg_age,Con,25.63
North,Age 65+,yg_age,Green,4.24
North,Age 65+,yg_age,IND,2.66
North,Age 65+,yg_age,LD,10.6
North,Age 65+,yg_age,Lab,38.2
North,Age 65+,yg_age,Reform,18.69
North,C2DE,ipsos_grade,Con,16.84
North,C2DE,ipsos_grade,Green,7.13
North,C2DE,ipsos_grade,IND,6.8
North,C2DE,ipsos_grade,LD,4.92
North,C2DE,ipsos_grade,Lab,44.9
North,C2DE,ipsos_grade,Reform,19.4
North,Degree,education,Con,5.61
North,Degree,education,Green,11.87
North,Degree,education,IND,4.99
North,Degree,education,LD,15.6
North,Degree,education,Lab,59.86
North,Degree,education,Reform,2.08
North,Detached,housing,Con,29.22
North,Detached,housing,Green,3.82
North,Detached,housing,IND,4.3
North,Detached,housing,LD,4.24
North,Detached,housing,Lab,39.85
North,Detached,housing,Reform,18.56
North,Flat,housing,Con,8.01
North,Flat,housing,Green,12.58
North,Flat,housing,IND,6.4
North,Flat,housing,LD,11.68
North,Flat,housing,Lab,47.31
North,Flat,housing,Reform,14.02
North,Ipsos 18-34,ipsos_age,Con,7.39
North,Ipsos 18-34,ipsos_age,Green,13.05
North,Ipsos 18-34,ipsos_age,IND,9.27
North,Ipsos 18-34,ipsos_age,LD,3.85
North,Ipsos 18-34,ipsos_age,Lab,51.65
North,Ipsos 18-34,ipsos_age,Reform,14.79
